epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,187.788,1.5818,2.57431,0.97144,0.43121,0.28729,0.29896,0.14947,1.97912,3.43707,1.21655,0.0001882,0.0001882,0.0001882
84,189.843,1.63402,2.74589,0.9799,0.42928,0.30345,0.29964,0.14959,1.97376,3.43085,1.21283,0.0001783,0.0001783,0.0001783
85,192.453,1.59057,2.8307,1.00676,0.42928,0.30345,0.29964,0.14959,1.97376,3.43085,1.21283,0.0001684,0.0001684,0.0001684
86,194.825,1.58803,2.72522,0.93572,0.43305,0.3005,0.30226,0.15017,1.9639,3.41107,1.20643,0.0001585,0.0001585,0.0001585
87,197.152,1.66229,2.63422,0.99164,0.43305,0.3005,0.30226,0.15017,1.9639,3.41107,1.20643,0.0001486,0.0001486,0.0001486
88,199.253,1.67397,2.78916,0.94661,0.4325,0.30544,0.30813,0.14908,1.95719,3.3935,1.20515,0.0001387,0.0001387,0.0001387
89,201.57,1.63219,2.80233,0.98196,0.42753,0.32472,0.30628,0.14725,1.95728,3.37976,1.20794,0.0001288,0.0001288,0.0001288
90,203.768,1.63069,2.75436,1.0011,0.42753,0.32472,0.30628,0.14725,1.95728,3.37976,1.20794,0.0001189,0.0001189,0.0001189
91,207.264,1.79713,3.94444,1.02683,0.42555,0.31527,0.313,0.15384,1.95743,3.34455,1.20455,0.000109,0.000109,0.000109
92,209.445,1.72398,3.33772,1.04935,0.42555,0.31527,0.313,0.15384,1.95743,3.34455,1.20455,9.91e-05,9.91e-05,9.91e-05
93,211.983,1.65583,3.60244,1.01116,0.44046,0.31093,0.3086,0.15256,1.97733,3.34165,1.21533,8.92e-05,8.92e-05,8.92e-05
94,214.139,1.76237,3.72636,1.03834,0.44046,0.31093,0.3086,0.15256,1.97733,3.34165,1.21533,7.93e-05,7.93e-05,7.93e-05
95,216.376,1.84151,3.63904,1.02658,0.42536,0.30399,0.30511,0.14921,2.00009,3.36137,1.22844,6.94e-05,6.94e-05,6.94e-05
96,218.56,1.69661,3.42086,1.02784,0.42536,0.30399,0.30511,0.14921,2.00009,3.36137,1.22844,5.95e-05,5.95e-05,5.95e-05
97,220.697,1.65133,3.28919,1.02677,0.38476,0.30434,0.30801,0.14798,2.01687,3.35957,1.23713,4.96e-05,4.96e-05,4.96e-05
98,223.013,1.61814,3.02357,0.95773,0.38476,0.30434,0.30801,0.14798,2.01687,3.35957,1.23713,3.97e-05,3.97e-05,3.97e-05
99,225.253,1.66254,3.30295,0.99915,0.3881,0.30633,0.31605,0.14945,2.02372,3.35707,1.23918,2.98e-05,2.98e-05,2.98e-05
100,227.464,1.87817,3.93615,1.00766,0.3881,0.30633,0.31605,0.14945,2.02372,3.35707,1.23918,1.99e-05,1.99e-05,1.99e-05
